architecture,architecture_label,artifact_path,probe_id,stratum,region,lat,lon,heading,distance_mode,repeat,status,error,query_core_ms,reported_total_ms,host_wall_ms,load_index_ms,load_candidates_ms,city_resolve_ms,polyline_refine_ms,score_and_rank_ms,candidate_way_ids,matched_way_rows,scored_rows,effective_speed_kmh,city_name
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,hybrid,0,ok,,135.64999999999998,331.71,379.685,194.5,5.59,0.08,63.73,66.25,752,752,752,50,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,hybrid,1,ok,,122.22999999999999,320.36,370.079,198.28,4.93,0.06,57.62,59.62,752,752,752,50,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,polyline,0,ok,,128.67000000000002,318.65,365.433,192.26,4.75,0.09,60.88,62.95,752,752,752,50,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,polyline,1,ok,,133.11,313.35,360.615,185.13,4.77,0.07,63.11,65.16,752,752,752,50,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,39.227,bbox,0,ok,,7.99,255.35,299.411,189.3,5.33,0.08,0.0,2.58,856,856,856,70,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,39.227,bbox,1,ok,,7.76,252.91,297.412,187.02,5.16,0.08,0.0,2.52,856,856,856,70,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,39.227,hybrid,0,ok,,124.18,305.66,353.493,183.31,5.33,0.08,58.24,60.53,856,856,856,70,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,39.227,hybrid,1,ok,,121.25,312.31,359.373,190.96,5.34,0.07,56.72,59.12,856,856,856,70,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,39.227,polyline,0,ok,,129.23000000000002,313.51,361.417,188.17,5.4,0.1,60.67,63.06,856,856,856,70,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,39.227,polyline,1,ok,,134.12,316.93,364.536,188.87,5.41,0.08,63.17,65.46,856,856,856,70,Gaggenau
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,310.290,bbox,0,ok,,12.94,257.44,301.433,187.38,8.92,0.1,0.0,3.92,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,310.290,bbox,1,ok,,13.129999999999999,255.71,300.498,186.27,8.91,0.1,0.0,4.12,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,310.290,hybrid,0,ok,,128.76999999999998,315.73,364.167,188.54,8.89,0.1,57.95,61.83,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,310.290,hybrid,1,ok,,129.55,327.6,375.052,199.19,8.84,0.1,58.29,62.32,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,310.290,polyline,0,ok,,153.02,327.02,375.214,187.41,9.08,0.1,70.0,73.84,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_low_speed_start,low_speed_intersection,karlsruhe-regbez,48.8800067,8.7178683,310.290,polyline,1,ok,,146.7,331.39,379.715,193.27,8.74,0.1,66.98,70.88,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_ref_parallel,same_ref_parallel,karlsruhe-regbez,48.8840867,8.7115283,20.000,bbox,0,ok,,13.0,264.5,309.215,193.0,8.81,0.12,0.0,4.07,1439,1439,1439,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_ref_parallel,same_ref_parallel,karlsruhe-regbez,48.8840867,8.7115283,20.000,bbox,1,ok,,12.91,256.54,300.663,186.77,8.67,0.12,0.0,4.12,1439,1439,1439,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_ref_parallel,same_ref_parallel,karlsruhe-regbez,48.8840867,8.7115283,20.000,hybrid,0,ok,,131.04000000000002,319.21,367.505,188.58,9.04,0.11,58.94,62.95,1439,1439,1439,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_ref_parallel,same_ref_parallel,karlsruhe-regbez,48.8840867,8.7115283,20.000,hybrid,1,ok,,130.26,317.79,365.962,188.3,8.85,0.1,58.65,62.66,1439,1439,1439,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_ref_parallel,same_ref_parallel,karlsruhe-regbez,48.8840867,8.7115283,20.000,polyline,0,ok,,152.45999999999998,326.67,374.637,184.71,9.13,0.11,69.58,73.64,1439,1439,1439,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_ref_parallel,same_ref_parallel,karlsruhe-regbez,48.8840867,8.7115283,20.000,polyline,1,ok,,146.29,328.11,375.157,191.3,8.95,0.11,66.63,70.6,1439,1439,1439,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_name_release,same_name_release,karlsruhe-regbez,48.8817950,8.7161100,305.740,bbox,0,ok,,13.26,262.43,306.675,193.14,8.99,0.1,0.0,4.17,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_name_release,same_name_release,karlsruhe-regbez,48.8817950,8.7161100,305.740,bbox,1,ok,,13.259999999999998,261.71,306.531,189.23,9.08,0.12,0.0,4.06,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_name_release,same_name_release,karlsruhe-regbez,48.8817950,8.7161100,305.740,hybrid,0,ok,,130.57999999999998,320.36,367.667,192.6,8.88,0.1,58.71,62.89,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_name_release,same_name_release,karlsruhe-regbez,48.8817950,8.7161100,305.740,hybrid,1,ok,,127.82999999999998,319.74,368.051,190.39,8.82,0.11,57.39,61.51,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_name_release,same_name_release,karlsruhe-regbez,48.8817950,8.7161100,305.740,polyline,0,ok,,155.63,341.55,390.173,196.76,9.24,0.11,71.1,75.18,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_same_name_release,same_name_release,karlsruhe-regbez,48.8817950,8.7161100,305.740,polyline,1,ok,,145.74,332.11,380.565,193.13,9.05,0.1,66.36,70.23,1439,1439,1439,30,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_tunnel_portal,tunnel_portal,karlsruhe-regbez,48.8944817,8.6943583,5.840,bbox,0,ok,,16.13,267.3,312.937,191.01,11.16,0.11,0.0,4.86,1739,1739,1739,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_tunnel_portal,tunnel_portal,karlsruhe-regbez,48.8944817,8.6943583,5.840,bbox,1,ok,,15.689999999999998,260.46,305.622,186.88,10.77,0.12,0.0,4.8,1739,1739,1739,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_tunnel_portal,tunnel_portal,karlsruhe-regbez,48.8944817,8.6943583,5.840,hybrid,0,ok,,131.83,320.66,367.825,189.56,11.31,0.09,57.89,62.54,1739,1739,1739,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_tunnel_portal,tunnel_portal,karlsruhe-regbez,48.8944817,8.6943583,5.840,hybrid,1,ok,,133.96,322.4,369.164,189.71,11.61,0.13,58.68,63.54,1739,1739,1739,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_tunnel_portal,tunnel_portal,karlsruhe-regbez,48.8944817,8.6943583,5.840,polyline,0,ok,,159.78,331.53,379.371,187.58,10.53,0.12,72.04,77.09,1739,1739,1739,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_tunnel_portal,tunnel_portal,karlsruhe-regbez,48.8944817,8.6943583,5.840,polyline,1,ok,,188.26999999999998,350.37,400.202,189.76,11.31,0.15,85.96,90.85,1739,1739,1739,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_distance_fallback,distance_fallback,karlsruhe-regbez,48.9023700,8.6597133,302.120,bbox,0,ok,,8.17,255.14,297.324,191.67,5.45,0.08,0.0,2.64,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_distance_fallback,distance_fallback,karlsruhe-regbez,48.9023700,8.6597133,302.120,bbox,1,ok,,8.49,258.06,301.129,191.67,5.82,0.07,0.0,2.6,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_distance_fallback,distance_fallback,karlsruhe-regbez,48.9023700,8.6597133,302.120,hybrid,0,ok,,123.83000000000001,314.65,361.124,189.26,5.64,0.06,57.75,60.38,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_distance_fallback,distance_fallback,karlsruhe-regbez,48.9023700,8.6597133,302.120,hybrid,1,ok,,120.14,313.87,360.109,192.81,5.4,0.09,56.08,58.57,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_distance_fallback,distance_fallback,karlsruhe-regbez,48.9023700,8.6597133,302.120,polyline,0,ok,,143.15,319.4,366.896,186.87,5.62,0.09,67.43,70.01,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_distance_fallback,distance_fallback,karlsruhe-regbez,48.9023700,8.6597133,302.120,polyline,1,ok,,141.03,335.82,382.351,200.75,5.71,0.1,66.27,68.95,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_no_match_gap,no_match_gap,karlsruhe-regbez,48.9053133,8.6506200,203.180,bbox,0,ok,,8.5,281.57,324.591,208.9,5.96,0.07,0.0,2.47,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_no_match_gap,no_match_gap,karlsruhe-regbez,48.9053133,8.6506200,203.180,bbox,1,ok,,8.450000000000001,259.18,303.492,192.35,5.66,0.07,0.0,2.72,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_no_match_gap,no_match_gap,karlsruhe-regbez,48.9053133,8.6506200,203.180,hybrid,0,ok,,124.46,316.91,364.742,192.15,5.75,0.08,58.01,60.62,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_no_match_gap,no_match_gap,karlsruhe-regbez,48.9053133,8.6506200,203.180,hybrid,1,ok,,121.57,313.47,360.579,189.88,5.93,0.08,56.48,59.08,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_no_match_gap,no_match_gap,karlsruhe-regbez,48.9053133,8.6506200,203.180,polyline,0,ok,,137.82999999999998,320.67,368.254,189.91,5.56,0.08,64.84,67.35,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,pforzheim_no_match_gap,no_match_gap,karlsruhe-regbez,48.9053133,8.6506200,203.180,polyline,1,ok,,133.88,317.22,364.744,188.27,5.59,0.1,62.9,65.29,903,903,903,50,Pforzheim
S1,global index files,mapdata/dist/karlsruhe-regbez,karlsruhe_motorway_highspeed,motorway_highspeed,karlsruhe-regbez,48.9621635,8.4127321,59.723,bbox,0,ok,,6.079999999999999,253.71,297.464,190.94,4.09,0.06,0.0,1.93,672,672,672,120,Ettlingen
S1,global index files,mapdata/dist/karlsruhe-regbez,karlsruhe_motorway_highspeed,motorway_highspeed,karlsruhe-regbez,48.9621635,8.4127321,59.723,bbox,1,ok,,6.26,251.29,294.67,186.49,4.4,0.06,0.0,1.8,672,672,672,120,Ettlingen
S1,global index files,mapdata/dist/karlsruhe-regbez,karlsruhe_motorway_highspeed,motorway_highspeed,karlsruhe-regbez,48.9621635,8.4127321,59.723,hybrid,0,ok,,122.32000000000001,310.46,358.414,192.1,4.17,0.07,58.09,59.99,672,672,672,120,Ettlingen
S1,global index files,mapdata/dist/karlsruhe-regbez,karlsruhe_motorway_highspeed,motorway_highspeed,karlsruhe-regbez,48.9621635,8.4127321,59.723,hybrid,1,ok,,117.71,313.73,360.469,193.38,4.28,0.06,55.73,57.64,672,672,672,120,Ettlingen
S1,global index files,mapdata/dist/karlsruhe-regbez,karlsruhe_motorway_highspeed,motorway_highspeed,karlsruhe-regbez,48.9621635,8.4127321,59.723,polyline,0,ok,,128.48,313.44,360.95,189.76,4.47,0.08,61.05,62.88,672,672,672,120,Ettlingen
S1,global index files,mapdata/dist/karlsruhe-regbez,karlsruhe_motorway_highspeed,motorway_highspeed,karlsruhe-regbez,48.9621635,8.4127321,59.723,polyline,1,ok,,128.64000000000001,307.21,353.766,182.61,4.23,0.06,61.2,63.15,672,672,672,120,Ettlingen
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,berlin_dense_core,urban_dense_control,germany,52.5200000,13.4050000,90,bbox,0,ok,,0.2,0.56,29.871,0.32,0.19,0.01,0.0,0.0,0,0,0,100,
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,berlin_dense_core,urban_dense_control,germany,52.5200000,13.4050000,90,bbox,1,ok,,0.2,0.62,29.167,0.37,0.19,0.01,0.0,0.0,0,0,0,100,
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,berlin_dense_core,urban_dense_control,germany,52.5200000,13.4050000,90,hybrid,0,ok,,0.19,0.55,29.799,0.32,0.18,0.01,0.0,0.0,0,0,0,100,
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,berlin_dense_core,urban_dense_control,germany,52.5200000,13.4050000,90,hybrid,1,ok,,0.2,0.54,29.208,0.31,0.19,0.01,0.0,0.0,0,0,0,100,
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,berlin_dense_core,urban_dense_control,germany,52.5200000,13.4050000,90,polyline,0,ok,,0.19,0.59,30.072,0.35,0.18,0.01,0.0,0.0,0,0,0,100,
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,berlin_dense_core,urban_dense_control,germany,52.5200000,13.4050000,90,polyline,1,ok,,0.2,0.56,30.097,0.32,0.19,0.01,0.0,0.0,0,0,0,100,
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,,bbox,0,ok,,12.63,13.05,42.947,0.32,9.93,1.05,0.0,1.65,686,686,686,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,,bbox,1,ok,,12.61,13.02,42.312,0.32,9.84,1.1,0.0,1.67,686,686,686,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,,hybrid,0,ok,,14.79,14.05,43.2,0.38,9.66,1.01,1.2,2.92,686,686,686,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,,hybrid,1,ok,,14.499999999999998,13.79,43.83,0.35,9.44,1.11,1.17,2.78,686,686,686,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,,polyline,0,ok,,19.57,16.66,46.679,0.31,10.12,1.2,3.32,4.93,686,686,686,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_low_gps_start,urban_dense_low_gps,karlsruhe-regbez,48.7630398,8.3375173,,polyline,1,ok,,21.93,18.46,49.385,0.33,10.89,1.3,3.91,5.83,686,686,686,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,bbox,0,ok,,12.96,13.39,43.702,0.34,10.0,1.17,0.0,1.79,634,634,634,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,bbox,1,ok,,12.73,13.16,43.034,0.33,9.86,1.15,0.0,1.72,634,634,634,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,hybrid,0,ok,,15.04,14.17,43.762,0.31,9.6,1.06,1.29,3.09,634,634,634,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,hybrid,1,ok,,14.66,13.77,43.134,0.32,9.39,1.02,1.29,2.96,634,634,634,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,polyline,0,ok,,19.15,16.3,45.189,0.34,9.76,1.05,3.3,5.04,634,634,634,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,10.953,polyline,1,ok,,18.919999999999998,16.29,45.9,0.32,9.94,1.16,3.03,4.79,634,634,634,50,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,bbox,0,ok,,11.990000000000002,12.41,42.498,0.31,9.46,0.8,0.0,1.73,629,629,629,100,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,bbox,1,ok,,12.62,13.04,42.58,0.33,9.89,0.87,0.0,1.86,629,629,629,100,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,hybrid,0,ok,,14.709999999999999,13.88,43.871,0.35,9.59,0.82,1.28,3.02,629,629,629,100,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,hybrid,1,ok,,15.14,14.26,43.906,0.34,9.82,0.88,1.31,3.13,629,629,629,100,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,polyline,0,ok,,19.07,16.21,45.725,0.32,9.93,0.83,3.29,5.02,629,629,629,100,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_urban_transition,urban_transition,karlsruhe-regbez,48.7697322,8.3371191,41.369,polyline,1,ok,,18.85,16.1,45.703,0.32,9.88,0.86,3.15,4.96,629,629,629,100,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,39.227,bbox,0,ok,,12.34,12.77,42.485,0.33,9.73,0.83,0.0,1.78,618,618,618,70,Karlsruhe
S3,SQLite/RTree,mapdata/dist-v3/karlsruhe-regbez/speeds_v3.sqlite,gernsbach_regional_ref,regional_arterial_ref,karlsruhe-regbez,48.7719407,8.3394489,39.227,bbox,1,ok,,12.4,12.85,41.32,0.35,9.82,0.83,0.0,1.75,618,618,618,70,Karlsruhe
