device,dataset_kind,db_path,db_size_bytes,has_way_tile_table,probe_id,stratum,region,lat,lon,variant,distance_mode,avg_ms,p50_ms,min_ms,max_ms,generated_at_utc
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v2,bbox,3.91,3.82,3.75,4.32,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v2,hybrid,6.2,6.21,6.18,6.21,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v2,polycontainment,1.09,1.07,1.07,1.16,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v2,polyline,8.55,8.53,8.44,8.77,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v3,bbox,2.01,1.96,1.93,2.2,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v3,hybrid,4.37,4.39,4.31,4.43,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v3,polycontainment,1.07,1.06,1.05,1.14,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v3,polyline,6.67,6.68,6.61,6.73,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v4,bbox,5.71,5.65,5.61,5.82,2026-05-02T10:57:55Z
"platform=iOS Simulator,OS=18.6,name=iPhone 16",baden_wuerttemberg_v4,/Users/raphaelvolz/Github/youspeed.de/mapdata/dist-v4/baden-wuerttemberg-bench/speeds_v4.sqlite,502030336,true,gernsbach_same_name_parallel,urban_same_name_parallel,karlsruhe-regbez,48.7683984,8.3358246,v4,hybrid,8.28,8.36,8.05,8.42,2026-05-02T10:57:55Z
